Date,Open,High,Low,Close,Adj Close,Volume
2018-10-31,216.880005,220.449997,216.619995,218.860001,213.398376,38358900
2018-11-01,219.050003,222.360001,216.809998,222.220001,216.674515,58323200
2018-11-02,209.550003,213.649994,205.429993,207.479996,202.302353,91328700
2018-11-05,204.300003,204.389999,198.169998,201.589996,196.559326,66163700
2018-11-06,201.919998,204.720001,201.690002,203.770004,198.684952,31882900
2018-11-07,205.970001,210.059998,204.130005,209.949997,204.710709,33424400
2018-11-08,209.979996,210.119995,206.750000,208.490005,203.996445,25362600
2018-11-09,205.550003,206.009995,202.250000,204.470001,200.063080,34365800
2018-11-12,199.000000,199.850006,193.789993,194.169998,189.985077,51135500
2018-11-13,191.630005,197.179993,191.449997,192.229996,188.086899,46882900
2018-11-14,193.899994,194.479996,185.929993,186.800003,182.773941,60801000
2018-11-15,188.389999,191.970001,186.899994,191.410004,187.284576,46478800
2018-11-16,190.500000,194.970001,189.460007,193.529999,189.358887,36928300
2018-11-19,190.000000,190.699997,184.990005,185.860001,181.854202,41925300
2018-11-20,178.369995,181.470001,175.509995,176.979996,173.165588,67825200
2018-11-21,179.729996,180.270004,176.550003,176.779999,172.969894,31124200
2018-11-23,174.940002,176.600006,172.100006,172.289993,168.576660,23624000
2018-11-26,174.240005,174.949997,170.259995,174.619995,170.856445,44998500
2018-11-27,171.509995,174.770004,170.880005,174.240005,170.484650,41387400
2018-11-28,176.729996,181.289993,174.929993,180.940002,177.040253,46062500
2018-11-29,182.660004,182.800003,177.699997,179.550003,175.680176,41770000
2018-11-30,180.289993,180.330002,177.029999,178.580002,174.731110,39531500
2018-12-03,184.460007,184.940002,181.210007,184.820007,180.836609,40802500
2018-12-04,180.949997,182.389999,176.270004,176.690002,172.881836,41344300
2018-12-06,171.759995,174.779999,170.419998,174.720001,170.954300,43098400
2018-12-07,173.490005,174.490005,168.300003,168.490005,164.858582,42281600
2018-12-10,165.000000,170.089996,163.330002,169.600006,165.944656,62026000
2018-12-11,171.660004,171.789993,167.000000,168.630005,164.995560,47281700
2018-12-12,170.399994,171.919998,169.020004,169.100006,165.455414,35627700
2018-12-13,170.490005,172.570007,169.550003,170.949997,167.265549,31898600
2018-12-14,169.000000,169.080002,165.279999,165.479996,161.913437,40703700
2018-12-17,165.449997,168.350006,162.729996,163.940002,160.406647,44287900
2018-12-18,165.380005,167.529999,164.389999,166.070007,162.490753,33841500
2018-12-19,166.000000,167.449997,159.089996,160.889999,157.422363,49047300
2018-12-20,160.399994,162.110001,155.300003,156.830002,153.449860,64773000
2018-12-21,156.860001,158.160004,149.630005,150.729996,147.481339,95744600
2018-12-24,148.149994,151.550003,146.589996,146.830002,143.665421,37169200
2018-12-26,148.300003,157.229996,146.720001,157.169998,153.782547,58582500
2018-12-27,155.839996,156.770004,150.070007,156.149994,152.784531,53117100
2018-12-28,157.500000,158.520004,154.550003,156.229996,152.862808,42291400
2018-12-31,158.529999,159.360001,156.479996,157.740005,154.340271,35003500
2019-01-02,154.889999,158.850006,154.229996,157.919998,154.516388,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,139.125412,91312200
2019-01-04,144.529999,148.550003,143.800003,148.259995,145.064575,58607100
2019-01-07,148.699997,148.830002,145.899994,147.929993,144.741714,54777800
2019-01-08,149.559998,151.820007,148.520004,150.750000,147.500916,41025300
2019-01-09,151.289993,154.529999,149.630005,153.309998,150.005737,45099100
2019-01-10,152.500000,153.970001,150.860001,153.800003,150.485199,35780700
2019-01-11,152.880005,153.699997,151.509995,152.289993,149.007721,27023200
2019-01-14,150.850006,151.270004,149.220001,150.000000,146.767090,32439200
2019-01-15,150.270004,153.389999,150.050003,153.070007,149.770935,28710900
2019-01-16,153.080002,155.880005,153.000000,154.940002,151.600632,30569700
2019-01-17,154.199997,157.660004,153.259995,155.860001,152.500778,29821200
2019-01-18,157.500000,157.880005,155.979996,156.820007,153.440094,33751000
2019-01-22,156.410004,156.729996,152.619995,153.300003,149.995956,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,150.602600,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,149.408875,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,154.359848,33535500
